origen,destino,razon,sha256
datasets/dataset_irish/early_blight/earlyblt10258.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10258.jpg,duplicado,244a361672b24dd5eb283f27d4898c80dc7897364bb8892396fb1467e5eb9864
datasets/dataset_irish/early_blight/earlyblt10259.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10259.jpg,duplicado,244a361672b24dd5eb283f27d4898c80dc7897364bb8892396fb1467e5eb9864
datasets/dataset_irish/early_blight/earlyblt1026.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1026.jpg,duplicado,aa1aab3cf0579ed17a5ee660105e983d230b6d8cdb39083ddceb9250cc270fc8
datasets/dataset_irish/early_blight/earlyblt10262.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10262.jpg,duplicado,244a361672b24dd5eb283f27d4898c80dc7897364bb8892396fb1467e5eb9864
datasets/dataset_irish/early_blight/earlyblt10264.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10264.jpg,duplicado,e850912336e6515d308d838c37846d297651f53b820cc58f0a0bf573be00671b
datasets/dataset_irish/early_blight/earlyblt10270.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10270.jpg,duplicado,c337fdad96c5f061acb83b107906ef03bd05eb0632116986ba6ebb9d935a28c0
datasets/dataset_irish/early_blight/earlyblt10271.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10271.jpg,duplicado,44cbac1cd22524a9ae4f8c0392d406add8635330733ab34d48ba185e74a31538
datasets/dataset_irish/early_blight/earlyblt10274.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10274.jpg,duplicado,f6fcb9618620d3474d2eb225b2f2bbf3120711d510d0841b9551251527dc10c3
datasets/dataset_irish/early_blight/earlyblt10276.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10276.jpg,duplicado,2582bb605bb727977e2db600c77fd42f5e2e8baf9354e76e64dfd94f75b5129d
datasets/dataset_irish/early_blight/earlyblt10278.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10278.jpg,duplicado,1b094bfcc477386f81a281dd6d694b05bf4865ffe71154f158952e3e698a9448
datasets/dataset_irish/early_blight/earlyblt1028.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1028.jpg,duplicado,013e6a82c8196f75d9387742d0383b5234b72b173bb155a1e2b34afde280e997
datasets/dataset_irish/early_blight/earlyblt10288.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10288.jpg,duplicado,bb6b9d9f4d1dc6fdae807a472ce93ae3d9b806d7d9a94ec3ed7c36d32c6cc27d
datasets/dataset_irish/early_blight/earlyblt1029.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1029.jpg,duplicado,2674ab2e5322081219006bc81d56d307b42576dcbb2298cb1cbca3f238a31bd4
datasets/dataset_irish/early_blight/earlyblt10296.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10296.jpg,duplicado,69e61061147b9837679927e8b87cc7c06a2997ca425b4fc4fecbef63a47406f1
datasets/dataset_irish/early_blight/earlyblt10304.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10304.jpg,duplicado,0acb027dbc218f92c3c077a489b6dc407b62facd08cba4b285fc479ae5e777db
datasets/dataset_irish/early_blight/earlyblt10311.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10311.jpg,duplicado,ac15cd1eee1c3a21012329ddf9159527203e672f562f3bd7f61a864bcd05deb6
datasets/dataset_irish/early_blight/earlyblt10315.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10315.jpg,duplicado,c76b36303b4c0fb59e63399a5e2bb7b1bb2640ec50db1220b96eed2a9a40632a
datasets/dataset_irish/early_blight/earlyblt10317.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10317.jpg,duplicado,ff7284c3be12946bf1fd551f1fce2f9037fae210e44534a34e76c4e7b6c3c988
datasets/dataset_irish/early_blight/earlyblt1032.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1032.jpg,duplicado,2674ab2e5322081219006bc81d56d307b42576dcbb2298cb1cbca3f238a31bd4
datasets/dataset_irish/early_blight/earlyblt1033.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1033.jpg,duplicado,f0c2c2b2de07368b7537db9de94ebb9f28cde67715ad4f2db184441d97f5141c
datasets/dataset_irish/early_blight/earlyblt10337.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10337.jpg,duplicado,d9ab1e80853ce83f4a33633180dfad050bb3f5a24abad96b19da87d943809248
datasets/dataset_irish/early_blight/earlyblt1034.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1034.jpg,duplicado,c9bbdc9b36a6c902ea4136d23710e892dfdd8c14da8f52ec3ef10060ade07367
